,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
31,0 days 01:53:49.241000,3,0 days 00:01:26.533000,32.0,,,0 days 00:00:28.494000,0 days 00:00:29.470000,0 days 00:00:28.569000,0 days 01:52:51.202000,0 days 01:53:20.672000,0 days 01:53:49.241000,308.0,307.0,311.0,313.0,False,HARD,10.0,True,2,0 days 01:52:22.708000,McLaren,RIC,2,True,2021-09-12 13:53:24.317
32,0 days 01:55:15.372000,3,0 days 00:01:26.131000,33.0,,,0 days 00:00:28.254000,0 days 00:00:29.498000,0 days 00:00:28.379000,0 days 01:54:17.495000,0 days 01:54:46.993000,0 days 01:55:15.372000,,308.0,311.0,315.0,False,HARD,11.0,True,2,0 days 01:53:49.241000,McLaren,RIC,1,True,2021-09-12 13:54:50.850
33,0 days 01:56:41.536000,3,0 days 00:01:26.164000,34.0,,,0 days 00:00:28.265000,0 days 00:00:29.244000,0 days 00:00:28.655000,0 days 01:55:43.637000,0 days 01:56:12.881000,0 days 01:56:41.536000,306.0,307.0,311.0,324.0,False,HARD,12.0,True,2,0 days 01:55:15.372000,McLaren,RIC,1,True,2021-09-12 13:56:16.981
34,0 days 01:58:07.930000,3,0 days 00:01:26.394000,35.0,,,0 days 00:00:28.392000,0 days 00:00:29.541000,0 days 00:00:28.461000,0 days 01:57:09.928000,0 days 01:57:39.469000,0 days 01:58:07.930000,308.0,308.0,309.0,313.0,False,HARD,13.0,True,2,0 days 01:56:41.536000,McLaren,RIC,1,True,2021-09-12 13:57:43.145
35,0 days 01:59:33.726000,3,0 days 00:01:25.796000,36.0,,,0 days 00:00:28.163000,0 days 00:00:29.283000,0 days 00:00:28.350000,0 days 01:58:36.093000,0 days 01:59:05.376000,0 days 01:59:33.726000,318.0,306.0,310.0,330.0,False,HARD,14.0,True,2,0 days 01:58:07.930000,McLaren,RIC,1,True,2021-09-12 13:59:09.539
36,0 days 02:00:59.940000,3,0 days 00:01:26.214000,37.0,,,0 days 00:00:28.393000,0 days 00:00:29.353000,0 days 00:00:28.468000,0 days 02:00:02.119000,0 days 02:00:31.472000,0 days 02:00:59.940000,305.0,307.0,310.0,313.0,False,HARD,15.0,True,2,0 days 01:59:33.726000,McLaren,RIC,1,True,2021-09-12 14:00:35.335
37,0 days 02:02:25.840000,3,0 days 00:01:25.900000,38.0,,,0 days 00:00:28.237000,0 days 00:00:29.196000,0 days 00:00:28.467000,0 days 02:01:28.177000,0 days 02:01:57.373000,0 days 02:02:25.840000,309.0,308.0,310.0,319.0,False,HARD,16.0,True,2,0 days 02:00:59.940000,McLaren,RIC,1,True,2021-09-12 14:02:01.549
38,0 days 02:03:51.900000,3,0 days 00:01:26.060000,39.0,,,0 days 00:00:28.318000,0 days 00:00:29.241000,0 days 00:00:28.501000,0 days 02:02:54.158000,0 days 02:03:23.399000,0 days 02:03:51.900000,,309.0,309.0,316.0,False,HARD,17.0,True,2,0 days 02:02:25.840000,McLaren,RIC,1,True,2021-09-12 14:03:27.449
39,0 days 02:05:17.670000,3,0 days 00:01:25.770000,40.0,,,0 days 00:00:28.173000,0 days 00:00:29.176000,0 days 00:00:28.421000,0 days 02:04:20.073000,0 days 02:04:49.249000,0 days 02:05:17.670000,310.0,309.0,309.0,,False,HARD,18.0,True,2,0 days 02:03:51.900000,McLaren,RIC,1,True,2021-09-12 14:04:53.509
40,0 days 02:06:43.575000,3,0 days 00:01:25.905000,41.0,,,0 days 00:00:28.195000,0 days 00:00:29.360000,0 days 00:00:28.350000,0 days 02:05:45.865000,0 days 02:06:15.225000,0 days 02:06:43.575000,,311.0,310.0,,False,HARD,19.0,True,2,0 days 02:05:17.670000,McLaren,RIC,2,True,2021-09-12 14:06:19.279
41,0 days 02:08:09.501000,3,0 days 00:01:25.926000,42.0,,,0 days 00:00:28.301000,0 days 00:00:29.231000,0 days 00:00:28.394000,0 days 02:07:11.876000,0 days 02:07:41.107000,0 days 02:08:09.501000,311.0,310.0,310.0,,False,HARD,20.0,True,2,0 days 02:06:43.575000,McLaren,RIC,1,True,2021-09-12 14:07:45.184
42,0 days 02:09:35.552000,3,0 days 00:01:26.051000,43.0,,,0 days 00:00:28.302000,0 days 00:00:29.088000,0 days 00:00:28.661000,0 days 02:08:37.803000,0 days 02:09:06.891000,0 days 02:09:35.552000,312.0,311.0,311.0,315.0,False,HARD,21.0,True,2,0 days 02:08:09.501000,McLaren,RIC,2,True,2021-09-12 14:09:11.110
43,0 days 02:11:20.394000,3,0 days 00:01:44.842000,44.0,,,0 days 00:00:28.225000,0 days 00:00:41.626000,0 days 00:00:34.991000,0 days 02:10:03.777000,0 days 02:10:45.403000,0 days 02:11:20.394000,311.0,154.0,312.0,318.0,False,HARD,22.0,True,2,0 days 02:09:35.552000,McLaren,RIC,267,False,2021-09-12 14:10:37.161
44,0 days 02:12:45.798000,3,0 days 00:01:25.404000,45.0,,,0 days 00:00:28.116000,0 days 00:00:28.993000,0 days 00:00:28.295000,0 days 02:11:48.510000,0 days 02:12:17.503000,0 days 02:12:45.798000,309.0,309.0,313.0,327.0,False,HARD,23.0,True,2,0 days 02:11:20.394000,McLaren,RIC,1,True,2021-09-12 14:12:22.003
45,0 days 02:14:11.406000,3,0 days 00:01:25.608000,46.0,,,0 days 00:00:28.236000,0 days 00:00:29.050000,0 days 00:00:28.322000,0 days 02:13:14.034000,0 days 02:13:43.084000,0 days 02:14:11.406000,310.0,310.0,312.0,315.0,False,HARD,24.0,True,2,0 days 02:12:45.798000,McLaren,RIC,1,True,2021-09-12 14:13:47.407
46,0 days 02:15:37.119000,3,0 days 00:01:25.713000,47.0,,,0 days 00:00:28.256000,0 days 00:00:29.102000,0 days 00:00:28.355000,0 days 02:14:39.662000,0 days 02:15:08.764000,0 days 02:15:37.119000,,309.0,311.0,,False,HARD,25.0,True,2,0 days 02:14:11.406000,McLaren,RIC,1,True,2021-09-12 14:15:13.015
47,0 days 02:17:02.736000,3,0 days 00:01:25.617000,48.0,,,0 days 00:00:28.181000,0 days 00:00:29.063000,0 days 00:00:28.373000,0 days 02:16:05.300000,0 days 02:16:34.363000,0 days 02:17:02.736000,,310.0,311.0,317.0,False,HARD,26.0,True,2,0 days 02:15:37.119000,McLaren,RIC,1,True,2021-09-12 14:16:38.728
48,0 days 02:18:28.284000,3,0 days 00:01:25.548000,49.0,,,0 days 00:00:28.125000,0 days 00:00:29.044000,0 days 00:00:28.379000,0 days 02:17:30.861000,0 days 02:17:59.905000,0 days 02:18:28.284000,,309.0,312.0,319.0,False,HARD,27.0,True,2,0 days 02:17:02.736000,McLaren,RIC,1,True,2021-09-12 14:18:04.345
49,0 days 02:19:53.724000,3,0 days 00:01:25.440000,50.0,,,0 days 00:00:28.247000,0 days 00:00:28.975000,0 days 00:00:28.218000,0 days 02:18:56.531000,0 days 02:19:25.506000,0 days 02:19:53.724000,311.0,310.0,313.0,316.0,False,HARD,28.0,True,2,0 days 02:18:28.284000,McLaren,RIC,1,True,2021-09-12 14:19:29.893
50,0 days 02:21:18.958000,3,0 days 00:01:25.234000,51.0,,,0 days 00:00:28.131000,0 days 00:00:28.879000,0 days 00:00:28.224000,0 days 02:20:21.855000,0 days 02:20:50.734000,0 days 02:21:18.958000,,310.0,313.0,319.0,False,HARD,29.0,True,2,0 days 02:19:53.724000,McLaren,RIC,1,True,2021-09-12 14:20:55.333
51,0 days 02:22:44.332000,3,0 days 00:01:25.374000,52.0,,,0 days 00:00:28.028000,0 days 00:00:28.971000,0 days 00:00:28.375000,0 days 02:21:46.986000,0 days 02:22:15.957000,0 days 02:22:44.332000,312.0,310.0,311.0,318.0,False,HARD,30.0,True,2,0 days 02:21:18.958000,McLaren,RIC,1,True,2021-09-12 14:22:20.567
52,0 days 02:24:09.144000,3,0 days 00:01:24.812000,53.0,,,0 days 00:00:28.077000,0 days 00:00:28.798000,0 days 00:00:27.937000,0 days 02:23:12.409000,0 days 02:23:41.207000,0 days 02:24:09.144000,311.0,310.0,297.0,317.0,True,HARD,31.0,True,2,0 days 02:22:44.332000,McLaren,RIC,1,True,2021-09-12 14:23:45.941
